Gene.name	Row.names	logFC	logCPM	F	PValue	FDR	11VG	37VG	38VG	50VG	54VG	55VG	12MII	16MII	53MII	7MII	13MII	17MII	85MII
	ENSG00000288545	-1.963232209	5.395186893	14.32884307	0.00100801	0.024936253	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
FBXL22	ENSG00000197361	-2.219429472	4.21486335	14.27280998	0.001008772	0.024936253	3.610506477	4.341252431	4.556963463	4.222555666	4.87595211	6.982774097	2.987061594	2.577205508	2.111850919	3.144898958	2.870443578	2.589791476	4.146243188
TBP	ENSG00000112592	1.126545639	6.603409028	14.25886059	0.001011421	0.024943057	6.07881356	5.811984845	5.247423493	6.191333423	5.847838988	6.211611087	6.281519228	7.454559569	6.520899333	6.675947761	7.423408071	7.491209763	7.068956975
PABPC4	ENSG00000090621	1.86023005	5.845028302	14.31636281	0.00101206	0.024943057	4.368006667	3.735858953	5.395857986	3.999090889	4.550339683	4.611987097	5.865184593	5.727876139	7.504919216	6.639009816	5.087667521	4.911851639	7.073364101
LONRF1	ENSG00000154359	1.496594194	6.013827865	14.23934476	0.001017832	0.025037931	4.817930518	5.546322588	4.205834787	5.151598487	5.099740733	4.139967547	6.631416185	6.535400597	5.769623167	7.244241339	6.473265971	5.542317213	5.930171714
METTL17	ENSG00000165792	1.558065473	5.597450368	14.23600895	0.001018933	0.025037931	4.752027136	4.124656098	4.528654193	4.36252377	4.559596828	4.136599795	6.42988183	5.135179041	6.586757721	4.606054339	6.083437657	5.913740583	6.188302585
HINT1	ENSG00000169567	1.676379107	9.695177375	14.28688762	0.001021695	0.025040626	8.99310357	7.528056176	8.14320519	7.659620287	8.617693491	9.567625071	9.013852245	9.865525025	9.657876107	11.08540709	9.520739344	10.10483619	11.24283088
TMEM39B	ENSG00000121775	-4.648434756	2.207420273	14.28271243	0.001023068	0.025040626	3.66795135	4.362051902	2.891921425	4.117374096	2.57527389	2.84578528	0.598055493	-0.142687749	-3.689597023	-3.689597023	-1.390201072	-0.356173518	-3.689597023
CARMIL1	ENSG00000079691	2.714511733	10.43560564	14.28116109	0.001023578	0.025040626	7.792025011	7.351317442	7.911996177	7.628709288	8.375376841	9.970637892	9.696123385	9.464831865	12.08270335	12.89223004	8.102449014	10.27171896	10.59185437
	ENSG00000226484	2.206340942	5.106532456	14.2744548	0.001025789	0.025057695	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
ZAR1	ENSG00000182223	-3.21995605	4.275542096	14.26482865	0.001028971	0.025074144	6.045021978	5.767463947	5.433170032	4.605728892	4.528505843	4.922772088	2.426367009	2.226298288	-0.123984035	-3.689597023	3.31141166	3.205705346	-0.844897777
DEDD2	ENSG00000160570	-4.166199607	2.779971152	14.25545978	0.001032079	0.025074144	4.430625465	5.248641352	3.610190189	4.263376299	3.145797058	1.836561247	0.049562654	1.457623645	0.777012244	-3.689597023	-0.422130798	-0.218554345	-3.689597023
NRBP1	ENSG00000115216	-2.604159377	5.67814052	14.25399547	0.001032566	0.025074144	6.789794957	6.908944983	6.530485292	7.419338094	6.565257061	5.343719	4.432168582	4.285192181	4.579610864	-1.835340981	4.739233857	4.532580442	2.625454061
ASCC2	ENSG00000100325	-3.758939266	4.25168552	14.25112618	0.00103352	0.025074144	5.922371335	5.848555449	5.051838495	6.086609044	5.379584266	2.918182358	2.767983682	2.281962473	2.225336908	-3.689597023	1.722462012	1.937620437	-3.689597023
	ENSG00000286958	-5.934496703	-1.306189451	14.24797036	0.001034571	0.025074144	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
MOB2	ENSG00000182208	-3.888264488	2.508522201	14.24504348	0.001035546	0.025074144	4.916029911	3.943315377	3.073489608	3.281163016	3.622907485	2.359980309	1.39544531	-1.166021684	-0.52168293	-3.689597023	0.675856231	0.409884977	-3.689597023
ATAD3A	ENSG00000197785	-4.822872526	1.418220108	14.23678452	0.001038304	0.025084941	3.299838873	3.633504984	2.948327821	3.224403464	0.148178442	-1.160156094	-2.529088127	-0.895167291	-1.072581108	-3.689597023	-0.422130798	-3.689597023	-3.161843097
URGCP	ENSG00000106608	-4.035516722	3.271283459	14.23464161	0.001039021	0.025084941	5.046714395	5.116559718	4.641816494	4.630904897	4.095592135	2.544101603	-1.45506875	-0.297264943	2.678232498	-3.689597023	0.83183637	-0.092927096	-3.689597023
MED21	ENSG00000152944	1.393704068	8.718652081	14.20795178	0.001047997	0.025264801	7.738628227	7.942194214	6.837567124	7.626950712	7.959104106	7.807529276	8.922009613	8.800580621	9.1306832	10.23585554	8.398337787	8.709569069	8.493740017
BTG4	ENSG00000137707	1.442293105	11.59028809	14.18219569	0.001056321	0.025428483	10.62836071	10.15875415	10.00469721	10.30862225	11.25542195	11.25769356	11.16137648	12.05784513	11.47586671	13.46622687	11.69962024	12.17686922	11.42924891
	ENSG00000170089	1.455521451	6.164919654	14.11956293	0.001058171	0.025436044	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
LINC02105	ENSG00000250447	1.474998767	11.27026694	14.16826589	0.0010615	0.025479071	10.55325029	10.16764242	9.309901592	10.76657744	10.01245733	10.41961491	11.2777543	12.84358348	11.14978215	12.38241192	11.24016496	11.4489867	10.49535603
CCDC34	ENSG00000109881	2.138323603	4.916710017	14.13250216	0.001073832	0.025711975	2.322200909	2.988514396	3.535165512	3.067288266	3.509656765	4.514162819	4.687565669	3.706488639	5.294799695	5.959115576	5.092817482	5.325960257	7.005800437
	ENSG00000289591	2.245912838	4.525448139	14.11618482	0.001074308	0.025711975	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
GTSF1	ENSG00000170627	-1.895294742	7.166145837	14.10698208	0.001082728	0.025856615	8.06816572	7.319502436	7.901320139	7.879391915	7.622494123	8.903918704	4.623632549	4.612772453	5.743665223	7.031584115	6.464352927	7.066313997	5.31047954
PSMA6P1	ENSG00000215414	-2.720767383	2.689800765	14.04695566	0.001083474	0.025856615	3.596918721	3.061542699	2.978190042	3.358560042	4.13327988	4.752819083	0.923456607	-0.470414042	1.956157962	-0.441537282	1.39570593	1.492741902	1.286588946
NAP1L1	ENSG00000187109	1.395641378	7.881513576	14.07459706	0.001094134	0.02607344	6.879041473	5.914810729	7.572103291	6.064835502	6.856288982	7.293699256	8.415756023	8.294258943	8.946544453	8.643663067	7.956471656	7.52283696	7.580702793
IL17B	ENSG00000127743	1.808102376	5.166603653	14.0078994	0.001099981	0.026159091	3.910604225	3.978761998	3.271381322	4.508899666	3.4936474	3.289642119	4.701789541	4.446128406	5.692773487	4.406758543	6.071748224	5.766095252	6.65174328
ELOVL4	ENSG00000118402	1.258812688	8.326202922	14.00721025	0.001100887	0.026159091	7.764181272	7.250622811	6.46959365	7.542611445	8.058901281	7.214055504	7.985921185	8.722575497	8.757105266	8.342450701	8.434536867	9.717631533	8.397725603
HSPA4	ENSG00000170606	-2.849321719	7.246621795	14.04918874	0.001103174	0.026170137	8.309425335	8.399192408	7.895463374	8.868857928	8.081034564	7.789683094	4.784307879	5.306009658	6.335851247	-3.689597023	4.74251439	5.848673581	6.086601225
GTF2A2	ENSG00000140307	1.318742689	7.125529291	13.99359261	0.001105187	0.026170137	6.32326013	6.096448085	6.623965186	5.689073951	6.401164586	6.879780817	8.158438447	6.900245842	6.836596152	8.489048003	8.018338943	7.818021199	6.54736723
NAA35	ENSG00000135040	1.263363013	8.66125712	13.99356985	0.001106092	0.026170137	7.68451784	7.438357507	6.600956984	7.955632024	7.978789863	7.673935277	8.159405031	9.27620346	9.227296763	8.949726189	8.657498739	8.984278085	8.632111838
	ENSG00000254686	-4.940515039	-1.016296656	14.03357697	0.00110877	0.026196072	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
RPP30	ENSG00000148688	-1.237195384	6.066255919	13.96263307	0.001113693	0.026221396	6.045021978	6.341828869	6.569016007	6.518762545	7.018364496	7.257724592	5.2621104	4.888555919	4.595530338	5.776430858	5.458654144	5.898692607	5.77467848
RASAL3	ENSG00000105122	-4.935637585	2.063167339	14.01854475	0.001114187	0.026221396	4.207394755	3.653890383	2.609810696	4.460569041	2.42805197	0.390343952	-3.689597023	0.241155453	-1.369478619	-3.689597023	-0.991040104	-0.356173518	-3.689597023
PALB2	ENSG00000083093	1.373287841	6.721045087	13.96744771	0.001114591	0.026221396	5.490601468	5.293724669	4.775373754	6.262531109	6.176416093	6.082794526	6.286836448	6.955852443	6.482176442	7.187185683	6.550162575	8.145737341	7.473078248
PRPS2	ENSG00000101911	1.89861032	7.528672328	14.0043532	0.001119328	0.026295477	5.277168322	4.938292224	6.305072138	6.215458503	6.298010161	7.530550288	6.843927201	8.130024494	8.59713059	9.670242241	6.880811612	8.076383086	7.016901785
COA1	ENSG00000106603	1.293109118	7.682538722	13.93126607	0.001130833	0.026451695	7.543477696	6.742048441	6.782921968	6.262531109	6.312684484	6.684319096	7.954710399	8.157256221	7.184987503	8.603624401	8.003717281	8.430384214	7.810804264
	ENSG00000250546	2.498829845	2.846216216	13.91553795	0.001130972	0.026451695	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
PPA2	ENSG00000138777	1.535513364	5.10809895	13.91485407	0.001131225	0.026451695	4.180316954	4.117334406	4.46504972	4.067534579	4.008140311	4.358083783	5.76375352	4.65554712	4.670091164	6.895115733	5.791996474	5.848673581	5.21531643
SNRPE	ENSG00000182004	1.630118928	9.18526985	13.9686791	0.001132366	0.026451695	8.053318021	7.194325171	8.559824828	7.552938741	7.73928615	8.880201716	9.183881865	9.323807282	9.091343719	10.99966046	9.651482506	9.684564344	9.125951199
SEMA3C	ENSG00000075223	3.344789557	3.117133999	13.96331374	0.001134342	0.026460517	1.698351641	0.361010648	0.48114505	1.434446416	-0.140724005	0.434895167	2.301169709	0.124199217	5.793972975	2.969310064	2.074510769	1.846455629	5.558027617
KDM3AP1	ENSG00000233996	2.514687645	2.889066769	13.89746847	0.00113768	0.026501057	0.377204145	0.882513326	1.174286801	1.730714612	1.455308613	1.323543918	4.186277175	2.485344636	4.339210318	3.429091518	2.996699284	2.952398242	4.331806128
BUD13	ENSG00000137656	1.919057719	5.697484381	13.94572924	0.001140842	0.026525803	4.448388786	4.819999846	3.983400516	4.534140103	3.417625987	3.439286911	6.535406752	6.632276814	5.528349865	5.53603606	6.581641992	6.574642002	3.463585548
	ENSG00000260808	2.716942391	6.404779474	13.94275604	0.001141945	0.026525803	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
ZNF586	ENSG00000083828	-2.490180909	4.440992586	13.92651882	0.00114799	0.026628876	5.431862419	5.919729492	4.971225457	5.728240003	5.487800436	4.243783404	3.172116627	2.822171654	3.942703685	-0.775198717	3.220229979	3.431602366	-0.758813475
ZMAT5	ENSG00000100319	-4.033401619	1.658265085	13.91638748	0.00115178	0.026679415	2.43849886	3.291448558	2.772027584	3.112675026	2.663780467	3.657075376	0.294477465	-1.166021684	0.070808024	-3.689597023	-0.309139234	-1.680011165	-3.689597023
MLLT11	ENSG00000213190	1.612577186	6.795480718	13.89795872	0.001158709	0.026791151	6.473334426	4.257142042	5.132617171	5.393293387	6.228129662	6.272715342	6.792935032	7.526179659	6.772104306	8.075199062	7.369260463	8.259068457	5.824331698
PUF60	ENSG00000179950	-2.65365332	4.474321797	13.89490672	0.001159861	0.026791151	5.228064357	6.15065144	5.472167023	6.15491458	5.488608404	4.772481019	2.859643925	3.284116415	4.357997602	-2.963713559	3.63462095	1.367178914	1.458168385
PRICKLE2-DT	ENSG00000244564	-5.278623779	-1.510038016	13.89068279	0.001161457	0.026791151	-1.385212424	-0.866546242	-1.645440072	-0.705393936	0.04649779	-3.689597023	-3.192074023	-3.689597023	-3.689597023	-3.689597023	-3.689597023	-3.689597023	-3.689597023
ACTN1-DT	ENSG00000259062	-5.484197975	-1.615024009	13.8644992	0.001171405	0.026983056	-1.007719463	-0.149321472	-3.689597023	-0.908038185	-0.66533177	0.560844887	-3.689597023	-2.560305211	-3.689597023	-3.689597023	-3.689597023	-3.689597023	-3.689597023
RPLP0P6	ENSG00000213553	2.299717964	4.245625328	13.81870311	0.001173338	0.026990022	2.780539045	2.167584492	2.844071857	1.810007788	2.563051891	3.252787379	4.056700535	3.785645864	4.689999209	3.855068643	4.02243371	4.294662932	6.736624766
PANK4	ENSG00000157881	-5.021797267	1.643282459	13.85044197	0.001176785	0.027031783	2.888581049	3.633504984	2.517921936	2.748691273	3.25619596	-3.689597023	-0.419436131	-1.499759814	-2.250452946	-3.689597023	-2.854074504	-1.357446272	-3.689597023
	ENSG00000219039	-6.904451698	-1.724405889	15.42864225	0.001183663	0.027088699	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
SUGCT	ENSG00000175600	2.269913615	8.425336624	13.83202182	0.001183876	0.027088699	5.251380426	6.280875158	6.431425835	6.428317076	6.914567998	8.21846537	7.549379387	7.242080068	9.297814046	10.48667594	7.796807557	8.658557914	9.884455339
RNF170	ENSG00000120925	1.295402736	6.510573006	13.77330299	0.001184966	0.027088699	5.808106474	5.342683596	5.455456565	5.990801287	5.981267578	6.066958803	6.373798692	6.304595787	6.656079925	8.250129937	6.883042843	7.453734912	6.583348295
MAP1LC3B2	ENSG00000258102	1.740943876	4.111393734	13.7711473	0.001185805	0.027088699	3.271608583	2.583488807	2.441379743	2.449431498	2.719905394	3.360641995	4.496815484	4.016483367	4.03120264	5.036375447	4.396027423	4.814987807	4.948891944
SDHAF3	ENSG00000196636	1.656965965	4.923505856	13.75629586	0.001191608	0.027183769	3.189492063	3.677314908	5.068128729	3.190937801	3.727911524	3.450179937	5.036600773	5.393898475	4.943216475	6.357149973	5.995430982	5.500567604	4.853036525
GGA3	ENSG00000125447	-3.333108636	4.320363803	13.79839797	0.00119694	0.027231418	6.009565481	5.988225808	4.88057896	5.953868533	4.625726204	3.074192588	3.686544051	2.859240913	-0.52168293	-0.255476311	1.774668634	2.180931847	-3.689597023
C7orf31	ENSG00000153790	-4.536005045	-0.498063902	13.76114551	0.001198157	0.027231418	0.244063477	-0.246729091	-1.528848208	-0.527739434	0.443130657	1.120317155	-3.689597023	-2.560305211	-3.689597023	-3.689597023	-3.689597023	-1.680011165	-3.689597023
PNLDC1	ENSG00000146453	-2.166737017	7.320597934	13.79407742	0.00119863	0.027231418	8.404626542	7.505331108	7.137410727	8.281822849	8.041662751	8.554583957	6.097425145	7.300523133	4.203833483	3.373737289	6.271179076	6.35106384	2.517469763
CLINT1	ENSG00000113282	1.156395059	7.975986188	13.71992941	0.00120595	0.027360194	6.93005414	7.008607087	6.722821684	7.694554566	7.101260467	7.105845733	8.307143384	8.843703275	8.414750696	7.807903602	7.634126321	8.483984093	8.138734805
RBMS2	ENSG00000076067	-1.875048793	4.831930511	13.72042833	0.001208438	0.027378194	5.103872491	5.145641603	5.125963074	5.307088255	5.689601222	7.190700546	4.235993479	3.363666181	4.80628364	1.858035396	3.690042852	4.323120367	3.949314118
CRELD1	ENSG00000163703	-4.713542257	-0.777952345	13.76319804	0.001210785	0.027378194	0.843970357	-0.058076695	1.759933531	0.475234202	-0.986065563	-3.075700916	-2.822827414	-2.560305211	-3.689597023	-2.4830624	-2.854074504	-3.689597023	-3.689597023
NODAL	ENSG00000156574	-5.471347167	1.484959047	13.76088231	0.001211702	0.027378194	4.013058558	1.035361377	0.48114505	4.148216532	2.686493113	0.600497747	-3.192074023	-1.499759814	-3.689597023	-3.689597023	-0.991040104	-0.871292019	-3.689597023
PLEKHA5	ENSG00000052126	1.577525164	6.782965812	13.75205169	0.001215206	0.027419957	4.814020935	5.486013387	5.210160683	6.099066194	5.737290353	5.569053099	6.342366532	6.375077734	8.235019467	7.754390825	6.029401505	6.659666748	6.952169228
MALSU1	ENSG00000156928	-2.744888591	4.84144965	13.73642596	0.001221434	0.027512022	6.372604469	6.348618937	6.543859617	5.058408851	5.151676101	6.385541783	4.006017982	2.309009354	1.988669769	4.017378099	4.523544731	2.90800011	-3.161843097
ACOT2	ENSG00000119673	2.11970625	4.827075137	13.73348742	0.001222609	0.027512022	3.719020912	3.85216144	1.665203899	3.525596314	3.162095045	1.199919065	4.698246698	5.240786892	5.957912736	3.469256503	4.9638416	5.883486018	5.412563005
RPL13AP2	ENSG00000244053	3.254437858	4.639347169	13.72536834	0.001225862	0.027547795	1.498491446	0.517526352	1.589837503	1.853435278	2.248901474	3.666447045	3.932534414	2.745047218	5.754340895	5.780427138	4.190393359	3.229954688	7.249214847
MRPL18	ENSG00000112110	1.440970527	8.828315882	13.72074105	0.00122772	0.027552169	8.01870442	7.096561943	7.49394077	7.597919649	8.040698988	8.819145244	8.569100975	8.995537515	8.226525198	10.36199501	9.238307976	9.726580379	9.544007183
PPP2R3C	ENSG00000092020	-2.213591824	6.002834677	13.71363954	0.001230578	0.027578012	6.076367665	6.145861677	6.682955202	6.676700842	6.979520449	7.934650131	4.399816344	2.784124745	5.171004086	5.00027964	4.011597518	5.18422959	4.975821561
SOX30	ENSG00000039600	1.266792422	6.536680689	13.65121969	0.001233565	0.027578012	5.850711768	5.993567564	4.098900268	6.197665919	5.681850776	5.186495392	6.703431657	7.045022953	6.22764468	6.71544657	7.194038526	7.391942379	6.781758765
TMBIM6	ENSG00000139644	1.251431849	9.655930144	13.65237978	0.001235941	0.027578012	9.031805105	8.216532872	8.390412498	8.899934259	9.193576971	9.342232175	8.675293564	9.985245905	9.691362851	10.41912861	10.09886805	10.63860203	10.69534556
COG4	ENSG00000103051	-4.097964534	2.846780964	13.69800545	0.001236895	0.027578012	3.650518373	4.573002174	3.438229711	4.781832361	4.050341471	4.552576494	2.153756103	-1.166021684	-0.61630275	-3.689597023	-0.015187381	0.644462438	-3.689597023
NUP35	ENSG00000163002	1.793902085	10.25474345	13.69725995	0.001237197	0.027578012	9.030226264	8.930524176	8.821729384	9.218429617	9.159418857	8.741185662	9.847530056	11.7623768	9.727555454	11.85441796	10.49134783	10.60625773	8.742771854
DNAI1	ENSG00000122735	-5.435670805	0.783289678	13.67134982	0.001247748	0.027775816	1.147184	1.94303707	1.103794811	1.956607581	2.506734214	1.802963919	-1.894359848	-1.166021684	-3.689597023	-3.689597023	-3.689597023	-3.689597023	-3.689597023
ZBTB48	ENSG00000204859	-4.974910146	1.78312161	13.65066552	0.001256242	0.0279004	3.21343471	4.010726533	3.213974367	3.470876563	2.218054218	1.602736838	-1.894359848	-1.499759814	-3.689597023	-3.689597023	0.500944454	-2.09611062	-3.689597023
ZNF626	ENSG00000188171	2.143682785	4.629899893	13.63546999	0.001256714	0.0279004	2.488413485	3.605868491	3.717359515	2.7995368	2.506734214	0.977033563	4.595340858	5.077362081	5.567887466	5.960290381	4.26984292	5.265658689	2.966045985
HPRT1	ENSG00000165704	1.345355743	8.667504726	13.6264293	0.001266275	0.02807503	8.589654827	7.70332343	7.104223863	7.543025959	7.696392715	7.383097699	9.308347369	9.495691469	9.276164666	9.034293715	9.125832556	8.780548638	8.370079456
	ENSG00000251419	1.863603309	4.583608135	13.55375314	0.001273934	0.028207087	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
PRMT1	ENSG00000126457	1.804123984	6.081845719	13.58379994	0.001284136	0.028395013	4.721046024	5.125102661	5.100167544	4.578489075	4.176039598	3.941971486	6.07983462	6.553890703	6.983972942	3.899841015	6.581641992	6.971519682	6.605832861
RTCB	ENSG00000100220	-3.179760041	6.096396327	13.57429742	0.001288155	0.028445903	6.945325504	7.180632652	6.819122807	7.678420003	7.467401662	7.491867077	3.58660689	2.663565805	3.718756592	-3.689597023	3.98414551	3.27726382	6.013566607
GRHL1	ENSG00000134317	1.394733791	6.976592319	13.55091965	0.001293814	0.028493119	6.103047113	6.044638663	4.434858564	6.645771616	5.131125759	5.048158701	6.438932215	7.105088865	7.303202085	6.723079787	6.784636063	7.222520287	7.950919519
SMC4	ENSG00000113810	1.904637293	8.66060711	13.55773493	0.001295193	0.028493119	6.633307772	6.263292041	6.488737739	6.982300487	8.203950533	7.979750062	7.194473859	7.688815641	9.375551123	10.30805257	8.131204177	9.251316604	9.858622823
	ENSG00000286511	7.07113019	0.918964331	13.55529815	0.001296232	0.028493119	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
LINC01479	ENSG00000255772	-5.944582458	-0.59839282	13.55308909	0.001297175	0.028493119	-0.539178028	0.575668655	2.122807609	0.884050635	-2.709170197	-2.646411346	-3.689597023	-2.560305211	-3.689597023	-3.689597023	-2.854074504	-3.689597023	-3.689597023
CHDH	ENSG00000016391	-4.872426226	0.686010899	13.5406631	0.001302492	0.028572012	1.628836413	1.920778495	3.518326382	0.633082747	1.179209367	1.275357591	-3.689597023	-1.93469812	-3.689597023	-3.689597023	-1.943925242	-3.689597023	-0.677577789
IGBP1	ENSG00000089289	-1.821363466	4.951386903	13.48544659	0.001306949	0.028631856	5.825688257	6.037544907	5.346149611	5.861835006	5.619039129	6.042874457	3.437338708	3.795241981	3.597515215	2.432679751	3.832311586	2.662863091	5.600378896
IL3RA	ENSG00000185291	-3.668642652	5.178692493	13.49939204	0.001320323	0.028886647	6.292682086	5.750210686	5.760499746	6.948905376	6.70077182	6.687774813	2.903378854	1.837895832	3.843983503	-3.689597023	3.63462095	3.311754618	-3.689597023
MPP2	ENSG00000108852	-2.802762946	4.463075934	13.47676641	0.001330212	0.028995724	6.24265869	5.837458497	5.274752285	6.061367335	4.460948819	3.680391382	0.049562654	3.842287865	-2.591267558	1.796221983	2.51905291	2.715336116	3.893914796
ANKRD7	ENSG00000106013	-2.192085376	5.935429935	13.47632216	0.001330407	0.028995724	6.034980155	6.133817233	6.269790353	6.362204602	7.389297629	7.546499285	4.901400017	3.228536895	3.053475788	5.815904088	4.006148746	4.45240764	4.607754422
MOCS1	ENSG00000124615	-5.976336623	-0.748965203	13.47597182	0.001330561	0.028995724	-0.317136337	-1.317301351	0.868949039	1.251762344	-3.284312917	-3.689597023	-3.689597023	-2.560305211	-3.689597023	-3.689597023	-3.689597023	-3.689597023	-3.689597023
RPL39L	ENSG00000163923	-4.047473512	2.768936403	13.45902095	0.001338025	0.029120067	4.00279097	4.272604376	4.220484099	3.446268184	3.4936474	5.0517391	1.430032178	-0.895167291	1.108197178	-0.775198717	0.228890185	-0.092927096	-3.689597023
C1orf174	ENSG00000198912	1.492629514	7.469274907	13.45243882	0.001340936	0.029140733	6.262876659	6.261632584	6.123804652	6.347566902	6.372124051	7.34639769	7.850838971	8.742553237	6.162343475	7.76384113	8.449920313	8.679069233	6.613922957
NARS1	ENSG00000134440	-1.623553095	6.550945099	13.44892249	0.001342494	0.029140733	7.354203097	6.934513348	6.872107231	7.873800636	7.350046154	7.032997759	5.643638227	4.377517303	7.267626167	4.612046487	5.095385586	5.367540065	4.820198038
CYB561A3	ENSG00000162144	-4.682862288	1.583529641	13.4297938	0.001351003	0.029287058	3.095992577	3.321493893	2.958350731	3.207767666	2.035488328	2.252074317	-3.689597023	-0.003081554	-2.250452946	-3.689597023	-0.422130798	-1.357446272	-3.689597023
NUDT11	ENSG00000196368	1.989340627	5.319673565	13.42566532	0.001352847	0.029288703	3.349301768	4.328627274	3.763819599	4.621515305	4.898014288	2.288947046	5.813724044	6.664048463	5.547572303	6.853991519	6.204944789	6.02185939	4.154586281
CLK1	ENSG00000013441	1.573340856	9.070039124	13.42077524	0.001355035	0.029297777	7.36826838	7.359615324	7.804112201	7.759131837	7.994517981	9.032697013	8.616678735	9.232724823	9.978970777	10.8864922	8.896206538	9.179399282	8.721168071
ECPAS	ENSG00000136813	-3.246524048	2.95937467	13.41136691	0.001359256	0.029330766	3.310978112	3.192728377	4.436652112	3.34721189	3.021786363	3.638147403	-1.222405461	1.800266777	-0.826478327	-3.689597023	0.972585706	1.367178914	-2.007736374
RFNG	ENSG00000169733	-4.030041052	1.525447463	13.40948288	0.001360103	0.029330766	3.453501212	3.751708269	3.61653338	2.107721094	0.972963203	-0.365280148	0.135903851	-0.667215003	-2.591267558	-1.389918975	-1.176859549	-0.356173518	-3.161843097
ELP3	ENSG00000134014	-2.865723289	5.940685339	13.40243595	0.001363276	0.029360962	6.857360794	7.228989565	5.633332847	7.444184229	7.0093846	6.958660736	4.269802808	5.069475079	4.544503958	-3.689597023	3.838456614	4.603899918	2.189630045
RER1	ENSG00000157916	-1.602289437	6.127869571	13.39005383	0.001368871	0.029443174	6.697316785	6.519896213	6.301631743	6.525490578	6.962755099	7.678284778	4.673200163	4.601877645	4.988128722	3.352419356	5.756739601	6.128899689	5.701592246
NOP58	ENSG00000055044	1.643445367	7.637322157	13.38304192	0.001372051	0.029473286	6.011273792	6.865540336	6.320210322	6.280540686	6.919070248	7.093305689	6.779586029	6.494752155	8.328277702	9.559487509	7.553306726	7.722977274	8.957564133
PFKP	ENSG00000067057	-1.668496535	5.969751857	13.36066732	0.001382251	0.029653935	6.717862861	7.04989354	6.871444362	7.391066455	6.421192969	5.916025239	5.970268978	5.265160726	3.476649294	2.213734918	5.627853193	5.370269903	5.250769652
DHX58	ENSG00000108771	-3.706834415	4.249842178	13.35299082	0.00138577	0.029690963	5.265763904	5.926029074	4.684707743	5.652661265	5.871571315	4.714932494	1.544946129	1.761629919	-2.591267558	-3.689597023	2.985667317	3.205705346	-3.161843097
PRSS51	ENSG00000253649	-4.091854082	2.064233673	13.34679474	0.001388617	0.029713529	2.655030514	2.20490576	3.127786992	2.90649437	3.14169363	3.234000833	-2.076566284	0.632346462	-3.689597023	-3.689597023	-0.826446344	0.129616747	-3.689597023
BRAP	ENSG00000089234	-1.629330192	6.355708923	13.33816706	0.001392592	0.029745925	7.009124972	6.8954539	6.223270538	7.287510574	7.093314753	6.999092318	5.709352294	5.757631556	5.402787913	1.412623104	5.595563734	5.589935925	5.034259168
TIMM8A	ENSG00000126953	-3.854440942	2.876719311	13.33571812	0.001393723	0.029745925	2.796477887	2.894560444	4.024527735	3.076480565	4.101942193	5.666848371	0.686540679	-1.499759814	0.443428945	-3.689597023	0.675856231	2.02336528	-3.689597023
ERLIN1	ENSG00000107566	1.240310628	7.303245063	13.27816074	0.001396128	0.029758898	6.925984515	6.24549198	5.746107796	6.013712282	6.551403695	6.432987402	7.378945138	8.116691869	7.631276595	7.395205789	7.005518875	7.78617893	7.689491486
NEPRO	ENSG00000163608	-1.345049749	5.794504363	13.26674277	0.00140146	0.029834163	6.809564774	6.705081365	6.265255759	6.35041162	6.234405233	5.787713514	5.636251274	5.025308573	3.723593752	5.450003464	5.549483498	5.023579182	3.797759981
